EUR/USD,20090501 00:02:14.310,1.32451,1.32458
EUR/USD,20090501 00:02:14.573,1.3245,1.32458
EUR/USD,20090501 00:02:14.778,1.32452,1.32458
EUR/USD,20090501 00:02:14.826,1.32452,1.32458
EUR/USD,20090501 00:02:14.838,1.32451,1.32458
EUR/USD,20090501 00:02:15.040,1.3245,1.32458
EUR/USD,20090501 00:02:15.509,1.32452,1.32458
EUR/USD,20090501 00:02:15.510,1.32451,1.32458
EUR/USD,20090501 00:02:15.529,1.32452,1.32458
EUR/USD,20090501 00:02:15.573,1.32452,1.32463
EUR/USD,20090501 00:02:15.647,1.32452,1.32462
EUR/USD,20090501 00:02:15.842,1.32451,1.32462
EUR/USD,20090501 00:02:16.015,1.32451,1.32461
EUR/USD,20090501 00:02:16.016,1.32451,1.32458
EUR/USD,20090501 00:02:16.019,1.32451,1.32462
EUR/USD,20090501 00:02:16.020,1.32451,1.32459
EUR/USD,20090501 00:02:16.038,1.3245,1.32459
EUR/USD,20090501 00:02:16.068,1.3245,1.32458
EUR/USD,20090501 00:02:16.277,1.32452,1.32458
EUR/USD,20090501 00:02:16.322,1.32452,1.32459
EUR/USD,20090501 00:02:16.541,1.3245,1.32459
EUR/USD,20090501 00:02:16.572,1.3245,1.32458
EUR/USD,20090501 00:02:16.669,1.3245,1.32459
EUR/USD,20090501 00:02:16.786,1.3245,1.32458
EUR/USD,20090501 00:02:17.014,1.32452,1.32458
EUR/USD,20090501 00:02:17.015,1.32451,1.32458
EUR/USD,20090501 00:02:17.039,1.32452,1.32458
EUR/USD,20090501 00:02:17.074,1.32452,1.32463
EUR/USD,20090501 00:02:17.260,1.32452,1.32461
EUR/USD,20090501 00:02:17.261,1.32452,1.32463
EUR/USD,20090501 00:02:17.269,1.32452,1.32462
EUR/USD,20090501 00:02:17.278,1.32452,1.32459
EUR/USD,20090501 00:02:17.292,1.3245,1.32459
EUR/USD,20090501 00:02:17.327,1.3245,1.32458
EUR/USD,20090501 00:02:17.757,1.32452,1.32457
EUR/USD,20090501 00:02:17.758,1.32451,1.32458
EUR/USD,20090501 00:02:17.784,1.32452,1.32458
EUR/USD,20090501 00:02:17.820,1.32452,1.32459
EUR/USD,20090501 00:02:17.833,1.32451,1.32459
EUR/USD,20090501 00:02:18.015,1.32451,1.32461
EUR/USD,20090501 00:02:18.016,1.32451,1.32463
EUR/USD,20090501 00:02:18.030,1.32451,1.32459
EUR/USD,20090501 00:02:18.064,1.3245,1.32459
EUR/USD,20090501 00:02:18.332,1.3245,1.32458
EUR/USD,20090501 00:02:18.344,1.3245,1.32459
EUR/USD,20090501 00:02:18.361,1.3245,1.32458
EUR/USD,20090501 00:02:18.508,1.32452,1.32457
EUR/USD,20090501 00:02:18.509,1.32452,1.32458
